Ingrediente,Quantita,Unita di misura,Nome Piatto
 Carta di riso,8,fogli,Involtini vietnamiti con salsa agrodolce
 Acqua (per reidratare),qb,na,Involtini vietnamiti con salsa agrodolce
 Zucchine,120,g,Involtini vietnamiti con salsa agrodolce
 Carote,120,g,Involtini vietnamiti con salsa agrodolce
 Porri,100,g,Involtini vietnamiti con salsa agrodolce
 Gamberi (da sgusciare),250,g,Involtini vietnamiti con salsa agrodolce
 Olio di semi,10,g,Involtini vietnamiti con salsa agrodolce
 Salsa di soia,30,g,Involtini vietnamiti con salsa agrodolce
 Acqua,80,g,Involtini vietnamiti con salsa agrodolce
 Aceto di riso,120,g,Involtini vietnamiti con salsa agrodolce
 Zucchero di canna,80,g,Involtini vietnamiti con salsa agrodolce
 Peperoncino fresco,1,pezzi,Involtini vietnamiti con salsa agrodolce
 Concentrato di pomodoro,qb,na,Involtini vietnamiti con salsa agrodolce
 Orzo perlato,240,g,Insalata di orzo e salmone
 Tranci di salmone,300,g,Insalata di orzo e salmone
 Avocado,150,g,Insalata di orzo e salmone
 Finocchi con la barbetta,90,g,Insalata di orzo e salmone
 Spinacini,25,g,Insalata di orzo e salmone
 Olio extravergine d'oliva,qb,na,Insalata di orzo e salmone
 Sale fino,qb,na,Insalata di orzo e salmone
 Pepe nero,qb,na,Insalata di orzo e salmone
 Yogurt greco,250,g,Insalata di orzo e salmone
 Olio extravergine d'oliva,10,g,Insalata di orzo e salmone
 Arance,1,pezzi,Insalata di orzo e salmone
 Sale fino,qb,na,Insalata di orzo e salmone
 Pepe nero,qb,na,Insalata di orzo e salmone
 cotto),144,g,Nigiri
 Branzino (spigola) (abbattuto),40,g,Nigiri
 pulito e rifilato),65,g,Nigiri
 pulito e rifilato),50,g,Nigiri
 Wasabi,qb,na,Nigiri
 Zenzero sott'aceto,qb,na,Nigiri
 Gamberi da pulire,900,g,Curry di gamberi
 Pasta di curry rosso,05,Metti dell'ingrediente,Curry di gamberi
 Curcuma in polvere,05,Metti dell'ingrediente,Curry di gamberi
 Peperoncino fresco,40,g,Curry di gamberi
 Scalogno,40,g,Curry di gamberi
 Aglio,2,spicchi,Curry di gamberi
 Olio di semi,3,cucchiai,Curry di gamberi
 Farina di riso,05,Metti dell'ingrediente,Curry di gamberi
 Prezzemolo,1,rametto,Curry di gamberi
 Sale fino,qb,na,Curry di gamberi
 Carote,1,pezzi,Curry di gamberi
 Cipolle,1,pezzi,Curry di gamberi
 Sedano,1,costa,Curry di gamberi
 Zenzero fresco,40,g,Curry di gamberi
 Brandy,20,g,Curry di gamberi
 Olio di semi,1,cucchiaio,Curry di gamberi
 Acqua fredda,qb,na,Curry di gamberi
 Radicchio tardivo,500,g,Torta salata al radicchio
 Pasta Sfoglia,230,g,Torta salata al radicchio
 Cipollotto fresco,160,g,Torta salata al radicchio
 Uova,2,pezzi,Torta salata al radicchio
 Panna fresca liquida,125,g,Torta salata al radicchio
 Parmigiano Reggiano DOP da grattugiare,50,g,Torta salata al radicchio
 Olio extravergine d'oliva,1,cucchiaio,Torta salata al radicchio
 Asiago,50,g,Torta salata al radicchio
 Sale fino,qb,na,Torta salata al radicchio
 Pepe nero,qb,na,Torta salata al radicchio
 Farina di mais,125,g,Zighini
 Farina 00,125,g,Zighini
 Farina integrale,70,g,Zighini
 Lievito di birra secco,3,g,Zighini
 Acqua tiepida,250,ml,Zighini
 Acqua bollente,150,ml,Zighini
 Bicarbonato,2,g,Zighini
 Manzo,1,kg,Zighini
 Berberi,20,g,Zighini
 Pomodori pelati,1,kg,Zighini
 Cipolle ramate,3,pezzi,Zighini
 Aglio,2,spicchi,Zighini
 Sale fino,qb,na,Zighini
 Pepe nero,qb,na,Zighini
 Acqua tiepida (se occorre),50,ml,Zighini
 Ceci precotti,200,g,Zighini
 Fagioli cannellini precotti,200,g,Zighini
 Lenticchie precotte,100,g,Zighini
 Insalata,100,g,Zighini
 Spinaci,100,g,Zighini
 Pomodori ramati,2,pezzi,Zighini
 Prezzemolo da tritare,qb,na,Zighini
 Sale fino,qb,na,Zighini
 Pepe nero,qb,na,Zighini
 Olio extravergine d'oliva,qb,na,Zighini
 Piadine senza strutto (diametro 28 cm),4,pezzi,Veggie wrap
 Carote,160,g,Veggie wrap
 Cetrioli,160,g,Veggie wrap
 Zucchine,120,g,Veggie wrap
 Feta,100,g,Veggie wrap
 Insalata misticanza,50,g,Veggie wrap
 Yogurt greco,250,g,Veggie wrap
 Cetrioli,170,g,Veggie wrap
 Menta,25,g,Veggie wrap
 Olio extravergine d'oliva,10,ml,Veggie wrap
 Aceto di vino bianco,3,ml,Veggie wrap
 Sale fino,1,pizzico,Veggie wrap
 Pomodorini ciliegino,320,g,Veggie wrap
 Olio extravergine d'oliva,20,ml,Veggie wrap
 Zucchero di canna,18,g,Veggie wrap
 Sale fino,8,g,Veggie wrap
 Timo,4,g,Veggie wrap
 Latte intero,300,g,Crespelle speck radicchio e fontina
 Burro,40,g,Crespelle speck radicchio e fontina
 Sale fino,qb,na,Crespelle speck radicchio e fontina
 Uova medie,2,pezzi,Crespelle speck radicchio e fontina
 Farina 00,250,g,Crespelle speck radicchio e fontina
 Radicchio trevigiano,500,g,Crespelle speck radicchio e fontina
 Fontina,250,g,Crespelle speck radicchio e fontina
 Speck,16,fette,Crespelle speck radicchio e fontina
 Burro,40,g,Crespelle speck radicchio e fontina
 Sale fino,qb,na,Crespelle speck radicchio e fontina
 Pepe nero,qb,na,Crespelle speck radicchio e fontina
 Burro,40,g,Crespelle speck radicchio e fontina
 Fontina,100,g,Crespelle speck radicchio e fontina
 Petto di pollo,250,g,Chicken rolls
 Piadine,4,pezzi,Chicken rolls
 Pomodori ramati,160,g,Chicken rolls
 Lattuga,8,foglie,Chicken rolls
 Olio extravergine d'oliva,1,cucchiaio,Chicken rolls
 Sale fino,qb,na,Chicken rolls
 Pepe nero,qb,na,Chicken rolls
 Cavolo cappuccio,150,g,Chicken rolls
 Carote,50,g,Chicken rolls
 Cipollotto fresco,05,Metti dell'ingrediente,Chicken rolls
 Yogurt magro,90,g,Chicken rolls
 Aceto di vino bianco,1,cucchiaio,Chicken rolls
 Zucchero,05,Metti dell'ingrediente,Chicken rolls
 Maionese,2,cucchiai,Chicken rolls
 Erba cipollina tritata,05,Metti dell'ingrediente,Chicken rolls
 Senape,1,cucchiaio,Chicken rolls
 Sale fino,qb,na,Chicken rolls
 Pepe nero,qb,na,Chicken rolls
 Fontina,400,g,Fonduta alla Valdostana
 Latte intero,400,g,Fonduta alla Valdostana
 Tuorli (di uova medie),4,pezzi,Fonduta alla Valdostana
 Burro,30,g,Fonduta alla Valdostana
 Pepe nero,qb,na,Fonduta alla Valdostana
 Manzo macinato,700,g,Cheeseburger
 Scalogno due,50,g,Cheeseburger
 Olio extravergine d'oliva,40,g,Cheeseburger
 Pepe nero,qb,na,Cheeseburger
 Sale fino,qb,na,Cheeseburger
 Pane 4 da hamburger,200,g,Cheeseburger
 Cheddar (o altro formaggio) 4 fette (15 g a fetta),60,g,Cheeseburger
 Pomodori 1 grande,80,g,Cheeseburger
 Lattuga,50,g,Cheeseburger
 Cipolle rosse,20,g,Cheeseburger
 Cetriolini sottaceto,20,g,Cheeseburger
 Ketchup o maionese,60,g,Cheeseburger
 Farina di mais bramata,500,g,Polenta concia
 Toma,200,g,Polenta concia
 Fontina,200,g,Polenta concia
 Burro,200,g,Polenta concia
 Acqua,2,l,Polenta concia
 Olio extravergine d'oliva,qb,na,Polenta concia
 Sale fino,qb,na,Polenta concia
 Pepe nero,qb,na,Polenta concia
 Lenticchie secche,250,g,Veggie burger
 Pane (mollica),50,g,Veggie burger
 Sale fino,qb,na,Veggie burger
 Erba cipollina,5,g,Veggie burger
 Paprika dolce,qb,na,Veggie burger
 Pepe nero,qb,na,Veggie burger
 Uova,1,pezzi,Veggie burger
 Pomodori ramati,2,pezzi,Veggie burger
 Panini da hamburger,4,pezzi,Veggie burger
 Insalata,qb,na,Veggie burger
 Sottilette,4,pezzi,Veggie burger
 Olio extravergine d'oliva,3,cucchiai,Veggie burger
 Farina 00,350,g,Piadina senza strutto
 Acqua,175,g,Piadina senza strutto
 Olio extravergine d'oliva,35,g,Piadina senza strutto
 Sale fino,1,pizzico,Piadina senza strutto
 Spaghetti,500,g,Frittata di spaghetti alla napoletana
 Parmigiano Reggiano DOP,100,g,Frittata di spaghetti alla napoletana
 Latte intero,100,g,Frittata di spaghetti alla napoletana
 Uova,8,pezzi,Frittata di spaghetti alla napoletana
 Sale fino,qb,na,Frittata di spaghetti alla napoletana
 Pepe nero,qb,na,Frittata di spaghetti alla napoletana
 Olio extravergine d'oliva,qb,na,Frittata di spaghetti alla napoletana
 Passata di pomodoro,700,g,Frittata di spaghetti alla napoletana
 Cipolle bianche,1,pezzi,Frittata di spaghetti alla napoletana
 Basilico,qb,na,Frittata di spaghetti alla napoletana
 Sale fino,qb,na,Frittata di spaghetti alla napoletana
 Olio extravergine d'oliva,qb,na,Frittata di spaghetti alla napoletana
 Peperoni rossi,1,pezzi,Peperoni imbottiti alla napoletana
 Peperoni gialli,1,pezzi,Peperoni imbottiti alla napoletana
 Pane,250,g,Peperoni imbottiti alla napoletana
 Olive di Gaeta,80,g,Peperoni imbottiti alla napoletana
 Parmigiano Reggiano DOP da grattugiare,40,g,Peperoni imbottiti alla napoletana
 Pangrattato,40,g,Peperoni imbottiti alla napoletana
 Capperi sotto sale,20,g,Peperoni imbottiti alla napoletana
 Uova medio,1,pezzi,Peperoni imbottiti alla napoletana
 Aglio,1,spicchio,Peperoni imbottiti alla napoletana
 Prezzemolo,qb,na,Peperoni imbottiti alla napoletana
 Basilico,qb,na,Peperoni imbottiti alla napoletana
 Olio extravergine d'oliva,qb,na,Peperoni imbottiti alla napoletana
 Pepe nero,qb,na,Peperoni imbottiti alla napoletana
 Uova medie,2,pezzi,Omelette di verdure
 Latte intero,30,g,Omelette di verdure
 Avocado Hass,05,Metti dell'ingrediente,Omelette di verdure
 Zucchine romanesca,1,pezzi,Omelette di verdure
 Spinaci,25,g,Omelette di verdure
 Pomodori ramati,05,Metti dell'ingrediente,Omelette di verdure
 Olio extravergine d'oliva,30,g,Omelette di verdure
 Sale fino,1,pizzico,Omelette di verdure
 Tabasco,qb,na,Omelette di verdure
 Salsiccia,600,g,Lasagne di pane carasau
 Pane carasau,200,g,Lasagne di pane carasau
 Olio extravergine d'oliva,qb,na,Lasagne di pane carasau
 Sedano,1,costa,Lasagne di pane carasau
 Carote,1,pezzi,Lasagne di pane carasau
 Cipolle,1,pezzi,Lasagne di pane carasau
 Sale fino,qb,na,Lasagne di pane carasau
 Pepe nero,qb,na,Lasagne di pane carasau
 Funghi champignon,300,g,Lasagne di pane carasau
 Brodo vegetale,250,ml,Lasagne di pane carasau
 Vino bianco,200,ml,Lasagne di pane carasau
 Parmigiano Reggiano DOP da grattugiare,150,g,Lasagne di pane carasau
 Latte intero caldo,1,l,Lasagne di pane carasau
 Farina 00,100,g,Lasagne di pane carasau
 Burro,100,g,Lasagne di pane carasau
 Sale fino,qb,na,Lasagne di pane carasau
 Noce moscata,qb,na,Lasagne di pane carasau
 Pepe nero,qb,na,Lasagne di pane carasau
 Tonno sott'olio sgocciolato,120,g,Tonno fagioli e cipolla
 Fagioli bianchi secchi,250,g,Tonno fagioli e cipolla
 Cipolle rosse di Tropea,170,g,Tonno fagioli e cipolla
 Olio extravergine d'oliva,30,g,Tonno fagioli e cipolla
 Sale fino,qb,na,Tonno fagioli e cipolla
 Carote,1,pezzi,Trippa alla milanese (busecca)
 Cipolle,1,pezzi,Trippa alla milanese (busecca)
 Sedano,1,costa,Trippa alla milanese (busecca)
 Passata di pomodoro,4,cucchiai,Trippa alla milanese (busecca)
 Acqua,qb,na,Trippa alla milanese (busecca)
 Chiodi di garofano,3,pezzi,Trippa alla milanese (busecca)
 Ginepro,3,bacche,Trippa alla milanese (busecca)
 Pancetta (tesa),100,g,Trippa alla milanese (busecca)
 Burro,30,g,Trippa alla milanese (busecca)
 Salvia,4,foglie,Trippa alla milanese (busecca)
 Pepe nero,qb,na,Trippa alla milanese (busecca)
 Trippa lavata e precotta,700,g,Trippa alla milanese (busecca)
 Fagioli bianchi precotti di spagna,200,g,Trippa alla milanese (busecca)
 Grana Padano DOP (da grattugiare),qb,na,Trippa alla milanese (busecca)
 Parmigiano Reggiano DOP,160,g,Cialdine al parmigiano
 Vitello macinato,250,g,Polpettone
 Salsiccia,150,g,Polpettone
 Grana Padano DOP da grattugiare,100,g,Polpettone
 Uova medie,2,pezzi,Polpettone
 Pane mollica,100,g,Polpettone
 Sale fino,qb,na,Polpettone
 Pepe nero,qb,na,Polpettone
 Noce moscata,1,pizzico,Polpettone
 Aglio,1,spicchio,Polpettone
 Prezzemolo tritato,2,cucchiai,Polpettone
 Fettine di vitello (3 fette ),450,g,Polpettone
 Aglio,1,spicchio,Polpettone
 Rosmarino,2,rametti,Polpettone
 Timo,2,rametti,Polpettone
 Salvia,6,foglie,Polpettone
 Olio extravergine d'oliva,4,cucchiai,Polpettone
 Burro,30,g,Polpettone
 Brodo di carne,250,ml,Polpettone
 Sale fino,qb,na,Polpettone
 Pepe nero,qb,na,Polpettone
 Cotechino precotto,300,g,Cotechino con lenticchie
 Lenticchie secche,300,g,Cotechino con lenticchie
 Sedano,1,costa,Cotechino con lenticchie
 Carote medie,1,pezzi,Cotechino con lenticchie
 Cipolle bianche,1,pezzi,Cotechino con lenticchie
 Olio extravergine d'oliva,35,g,Cotechino con lenticchie
 Alloro,3,foglie,Cotechino con lenticchie
 Rosmarino,2,rametti,Cotechino con lenticchie
 Brodo vegetale,500,g,Cotechino con lenticchie
 Sale fino,qb,na,Cotechino con lenticchie
 Pepe nero,qb,na,Cotechino con lenticchie
 Tortillas,4,pezzi,Burrito di pollo con guacamole al lime
 Petto di pollo a fette,400,g,Burrito di pollo con guacamole al lime
 Lattuga,80,g,Burrito di pollo con guacamole al lime
 Fagioli neri precotti,150,g,Burrito di pollo con guacamole al lime
 Cheddar a fette,200,g,Burrito di pollo con guacamole al lime
 Pomodori ramati,200,g,Burrito di pollo con guacamole al lime
 Sale fino,1,pizzico,Burrito di pollo con guacamole al lime
 Olio extravergine d'oliva,30,g,Burrito di pollo con guacamole al lime
 Succo di lime,10,g,Burrito di pollo con guacamole al lime
 Scorza di lime,1,pezzi,Burrito di pollo con guacamole al lime
 Sale fino,qb,na,Burrito di pollo con guacamole al lime
 Peperoncino di Cayenna,1,g,Burrito di pollo con guacamole al lime
 Miele,20,g,Burrito di pollo con guacamole al lime
 Avocado maturo,1,pezzi,Burrito di pollo con guacamole al lime
 Scalogno,10,g,Burrito di pollo con guacamole al lime
 Peperoncino fresco,10,g,Burrito di pollo con guacamole al lime
 Pomodori ramati,150,g,Burrito di pollo con guacamole al lime
 Succo di lime,10,g,Burrito di pollo con guacamole al lime
 Olio extravergine d'oliva,20,g,Burrito di pollo con guacamole al lime
 Sale fino,qb,na,Burrito di pollo con guacamole al lime
 Pepe nero,qb,na,Burrito di pollo con guacamole al lime
 Zucchine,800,g,Gateau di zucchine con cuore filante
 Cipollotto fresco,1,pezzi,Gateau di zucchine con cuore filante
 Uova (medie),2,pezzi,Gateau di zucchine con cuore filante
 Mozzarella (per pizza),200,g,Gateau di zucchine con cuore filante
 Scamorza affumicata,180,g,Gateau di zucchine con cuore filante
 Pecorino romano (da grattugiare),80,g,Gateau di zucchine con cuore filante
 Pancetta,100,g,Gateau di zucchine con cuore filante
 Pangrattato,80,g,Gateau di zucchine con cuore filante
 Sale fino,qb,na,Gateau di zucchine con cuore filante
 Burro,qb,na,Gateau di zucchine con cuore filante
 Pangrattato,qb,na,Gateau di zucchine con cuore filante
 Riso Carnaroli,500,g,Sartu di riso
 Piselli surgelati,200,g,Sartu di riso
 Uova sode,2,pezzi,Sartu di riso
 Mozzarella,150,g,Sartu di riso
 Sale fino,qb,na,Sartu di riso
 Uova,125,g,Sartu di riso
 Costine di maiale,320,g,Sartu di riso
 Biancostato di manzo,700,g,Sartu di riso
 Salsiccia,340,g,Sartu di riso
 Cipolle dorate,300,g,Sartu di riso
 Olio extravergine d'oliva,60,g,Sartu di riso
 Passata di pomodoro,700,g,Sartu di riso
 Vino rosso,70,g,Sartu di riso
 Acqua,300,g,Sartu di riso
 Manzo (macinato),200,g,Sartu di riso
 Pane solo la mollica rafferma,75,g,Sartu di riso
 Uova,1,pezzi,Sartu di riso
 Parmigiano Reggiano DOP da grattugiare,30,g,Sartu di riso
 Sale fino,qb,na,Sartu di riso
 Pepe nero,qb,na,Sartu di riso
 Prezzemolo tritato,05,Metti dell'ingrediente,Sartu di riso
 Olio di semi di arachide per friggere,qb,na,Sartu di riso
 Burro,qb,na,Sartu di riso
 Pangrattato,qb,na,Sartu di riso
 Acqua,250,g,Pizza fritta con mortadella e fiordilatte
 Farina 00,415,g,Pizza fritta con mortadella e fiordilatte
 Sale fino,15,g,Pizza fritta con mortadella e fiordilatte
 Lievito di birra fresco,3,g,Pizza fritta con mortadella e fiordilatte
 Ricotta di bufala,350,g,Pizza fritta con mortadella e fiordilatte
 Acqua,70,g,Pizza fritta con mortadella e fiordilatte
 Fiordilatte,220,g,Pizza fritta con mortadella e fiordilatte
 Mortadella a fette spesse,120,g,Pizza fritta con mortadella e fiordilatte
 Pepe nero,qb,na,Pizza fritta con mortadella e fiordilatte
 Basilico,qb,na,Pizza fritta con mortadella e fiordilatte
 Olio di semi di arachide,qb,na,Pizza fritta con mortadella e fiordilatte
 Aglio (circa 6 teste),570,g,Bagna caoda
 Olio extravergine d'oliva,600,g,Bagna caoda
 Acciughe sotto sale rosse di Spagna,300,g,Bagna caoda
 Vino rosso,125,g,Bagna caoda
 Aglio (6 teste),570,g,Bagna caoda
 Olio extravergine d'oliva,150,g,Bagna caoda
 Latte intero,350,g,Bagna caoda
 Acciughe sotto sale rosse di Spagna,300,g,Bagna caoda
 Peperoni,qb,na,Bagna caoda
 Barbabietole,qb,na,Bagna caoda
 Cipolle,qb,na,Bagna caoda
 Cipollotto fresco,qb,na,Bagna caoda
 Barbera,qb,na,Bagna caoda
 Patate,qb,na,Bagna caoda
 Cardi gobbo di Nizza,qb,na,Bagna caoda
 Cozze,500,g,Riso patate e cozze
 Patate,500,g,Riso patate e cozze
 Aglio,1,spicchio,Riso patate e cozze
 Pangrattato,50,g,Riso patate e cozze
 Prezzemolo,25,g,Riso patate e cozze
 Acqua,300,g,Riso patate e cozze
 Riso Carnaroli,300,g,Riso patate e cozze
 Sale fino,qb,na,Riso patate e cozze
 Olio extravergine d'oliva,qb,na,Riso patate e cozze
 Pepe nero,qb,na,Riso patate e cozze
 Parmigiano Reggiano DOP da grattugiare,50,g,Riso patate e cozze
 Pane raffermo ai cereali,120,g,Panzanella croccante
 Cipolle rosse di Tropea,55,g,Panzanella croccante
 Zucchine bianche,185,g,Panzanella croccante
 Fagiolini,100,g,Panzanella croccante
 Pinoli,30,g,Panzanella croccante
 Basilico,15,g,Panzanella croccante
 Olio extravergine d'oliva,20,g,Panzanella croccante
 Aceto balsamico,15,g,Panzanella croccante
 Sale fino,qb,na,Panzanella croccante
 Sale grosso (per le cipolle),4,cucchiai,Panzanella croccante
 Pomodorini ciliegino,200,g,Panzanella croccante
 Olio extravergine d'oliva,15,g,Panzanella croccante
 Sale fino,qb,na,Panzanella croccante
 Zucchero,qb,na,Panzanella croccante
 Riso Arborio,600,g,Paella vegetariana
 Paprika,30,g,Paella vegetariana
 Olio extravergine d'oliva,qb,na,Paella vegetariana
 Zafferano,2,bustine,Paella vegetariana
 Passata di pomodoro,300,g,Paella vegetariana
 Carciofi cuori,300,g,Paella vegetariana
 Pisellini,200,g,Paella vegetariana
 Prezzemolo da tritare,1,ciuffo,Paella vegetariana
 Aglio,1,spicchio,Paella vegetariana
 Cipollotto fresco,1,pezzi,Paella vegetariana
 Cavolfiore,200,g,Paella vegetariana
 Peperoni rossi,250,g,Paella vegetariana
 Carote,220,g,Paella vegetariana
 Fagiolini,230,g,Paella vegetariana
 Fagioli bianchi precotti di Spagna,200,g,Paella vegetariana
 Sale fino,qb,na,Paella vegetariana
 Brodo vegetale,2,l,Paella vegetariana
 Funghi champignon,220,g,Paella vegetariana
 Ceci neri secchi,100,g,Hamburger vegetariano
 Zucchine,110,g,Hamburger vegetariano
 Grana Padano DOP,35,g,Hamburger vegetariano
 Carote,85,g,Hamburger vegetariano
 Asparagi,115,g,Hamburger vegetariano
 Olio extravergine d'oliva,50,g,Hamburger vegetariano
 Sale fino,qb,na,Hamburger vegetariano
 Pepe nero,qb,na,Hamburger vegetariano
 Erba cipollina,qb,na,Hamburger vegetariano
 Aglio,1,spicchio,Hamburger vegetariano
 Formaggio,4,fette,Hamburger vegetariano
 Pomodori,2,pezzi,Hamburger vegetariano
 Lattuga,4,foglie,Hamburger vegetariano
 Panini integrali,4,pezzi,Hamburger vegetariano
 Cous cous,300,g,Cous cous tonno e zucchine
 Acqua,600,g,Cous cous tonno e zucchine
 Sale fino,qb,na,Cous cous tonno e zucchine
 Paprika,1,pizzico,Cous cous tonno e zucchine
 Pepe nero,qb,na,Cous cous tonno e zucchine
 Zucchine,600,g,Cous cous tonno e zucchine
 Tonno sott'olio,180,g,Cous cous tonno e zucchine
 Basilico,10,foglie,Cous cous tonno e zucchine
 Scalogno,1,pezzi,Cous cous tonno e zucchine
 Olio extravergine d'oliva,qb,na,Cous cous tonno e zucchine
 Spalla di maiale,5,kg,Pulled pork
 Senape,30,g,Pulled pork
 Paprika affumicata,50,g,Pulled pork
 Paprika dolce,40,g,Pulled pork
 Zucchero muscovado,50,g,Pulled pork
 Sale fino,35,g,Pulled pork
 Aglio in polvere,20,g,Pulled pork
 Pepe bianco,10,g,Pulled pork
 Coriandolo in polvere,3,g,Pulled pork
 Origano secco,3,g,Pulled pork
 Pepe di cayenna,5,g,Pulled pork
 Anice in polvere,2,g,Pulled pork
 Ketchup,300,g,Pulled pork
 Aceto di mele,30,g,Pulled pork
 Sale fino,3,g,Pulled pork
 Pepe nero,3,g,Pulled pork
 Zenzero in polvere,2,g,Pulled pork
 Uova di lompo (succedaneo caviale) rosse,20,g,Insalata di riso al profumo di mare
 Salmone affumicato,50,g,Insalata di riso al profumo di mare
 Erba cipollina da tritare,1,cucchiaio,Insalata di riso al profumo di mare
 Pisellini,250,g,Insalata di riso al profumo di mare
 Mazzancolle,250,g,Insalata di riso al profumo di mare
 Pomodorini ciliegino,8,pezzi,Insalata di riso al profumo di mare
 Seppie,200,g,Insalata di riso al profumo di mare
 Riso Carnaroli,320,g,Insalata di riso al profumo di mare
 Prezzemolo,25,g,Insalata di riso al profumo di mare
 Olio extravergine d'oliva,6,cucchiai,Insalata di riso al profumo di mare
 Vongole,500,g,Insalata di riso al profumo di mare
 Olive nere denocciolate,60,g,Insalata di riso al profumo di mare
 Sale,qb,na,Insalata di riso al profumo di mare
 Patate,600,g,Spezzatino di tacchino
 Cipolle bianche,1,pezzi,Spezzatino di tacchino
 Carote,1,pezzi,Spezzatino di tacchino
 Farina 00,70,g,Spezzatino di tacchino
 Passata di pomodoro,350,g,Spezzatino di tacchino
 Brodo di carne,350,g,Spezzatino di tacchino
 Olio extravergine d'oliva,10,g,Spezzatino di tacchino
 Rosmarino,3,rametti,Spezzatino di tacchino
 Timo,3,rametti,Spezzatino di tacchino
 Sale fino,qb,na,Spezzatino di tacchino
 Pepe nero,qb,na,Spezzatino di tacchino
 Biancostato di manzo,700,g,ragu alla napoletana
 Costine di maiale,320,g,ragu alla napoletana
 Salsiccia di maiale,340,g,ragu alla napoletana
 Passata di pomodoro,700,g,ragu alla napoletana
 Cipolle dorate,300,g,ragu alla napoletana
 Olio extravergine d'oliva,60,g,ragu alla napoletana
 Vino rosso,70,g,ragu alla napoletana
 Acqua,300,g,ragu alla napoletana
 Sale fino,qb,na,ragu alla napoletana
 Tagliatelle di riso,300,g,Pad thai
 Gamberi black tiger (gii puliti),200,g,Pad thai
 Germogli di soia,150,g,Pad thai
 Arachidi,80,g,Pad thai
 Olio di semi,60,g,Pad thai
 Acqua,50,g,Pad thai
 Pasta di pesce,40,g,Pad thai
 Succo di tamarindo,40,g,Pad thai
 Salsa di soia,20,g,Pad thai
 Aglio,3,spicchi,Pad thai
 Coriandolo,qb,na,Pad thai
 Erba cipollina,qb,na,Pad thai
 Lime,1,pezzi,Pad thai
 Farina Manitoba,150,g,Panettone gastronomico
 Latte intero,100,g,Panettone gastronomico
 Lievito di birra secco,2,g,Panettone gastronomico
 Farina 0,400,g,Panettone gastronomico
 Latte intero,120,g,Panettone gastronomico
 Burro,80,g,Panettone gastronomico
 Zucchero,40,g,Panettone gastronomico
 Uova (medio),1,pezzi,Panettone gastronomico
 Tuorli (di un uovo medio),1,pezzi,Panettone gastronomico
 Lievito di birra secco,2,g,Panettone gastronomico
 Sale fino,8,g,Panettone gastronomico
 Malto,2,g,Panettone gastronomico
 Formaggio fresco spalmabile,100,g,Panettone gastronomico
 Panna fresca liquida,10,g,Panettone gastronomico
 Sale fino,qb,na,Panettone gastronomico
 Pepe nero,qb,na,Panettone gastronomico
 Erba cipollina,15,g,Panettone gastronomico
 Salmone affumicato,80,g,Panettone gastronomico
 Asparagi,150,g,Panettone gastronomico
 Robiola,100,g,Panettone gastronomico
 Sale fino,qb,na,Panettone gastronomico
 Pepe nero,qb,na,Panettone gastronomico
 Caprino,160,g,Panettone gastronomico
 Concentrato di pomodoro,10,g,Panettone gastronomico
 Panna fresca liquida,20,g,Panettone gastronomico
 Radicchio,40,g,Panettone gastronomico
 Prosciutto cotto,100,g,Panettone gastronomico
 Pepe nero,qb,na,Panettone gastronomico
 Sale fino,qb,na,Panettone gastronomico
 Gamberi,170,g,Panettone gastronomico
 Erba cipollina,5,g,Panettone gastronomico
 Salsa cocktail,80,g,Panettone gastronomico
 Cavolfiore,800,g,Sformato di cavolfiore
 Patate,400,g,Sformato di cavolfiore
 Uova medie,2,pezzi,Sformato di cavolfiore
 Grana Padano DOP,80,g,Sformato di cavolfiore
 Mozzarella,375,g,Sformato di cavolfiore
 Sale fino,qb,na,Sformato di cavolfiore
 Pepe nero,qb,na,Sformato di cavolfiore
 Noce moscata,qb,na,Sformato di cavolfiore
 Burro,qb,na,Sformato di cavolfiore
 Pangrattato,qb,na,Sformato di cavolfiore
 Prezzemolo,qb,na,Sformato di cavolfiore
 Olio extravergine d'oliva,qb,na,Sformato di cavolfiore
 Latte intero,500,ml,Crepe alla crema di asparagi
 Farina 00,250,g,Crepe alla crema di asparagi
 Uova medie,3,pezzi,Crepe alla crema di asparagi
 Sale fino,1,pizzico,Crepe alla crema di asparagi
 Burro,qb,na,Crepe alla crema di asparagi
 Latte intero,500,ml,Crepe alla crema di asparagi
 Farina 00,50,g,Crepe alla crema di asparagi
 Burro,50,g,Crepe alla crema di asparagi
 Noce moscata,1,pizzico,Crepe alla crema di asparagi
 Sale fino,1,pizzico,Crepe alla crema di asparagi
 Asparagi,600,g,Crepe alla crema di asparagi
 Groviera da grattugiare,200,g,Crepe alla crema di asparagi
 Burro,30,g,Crepe alla crema di asparagi
 Sale fino,qb,na,Crepe alla crema di asparagi
 Pepe nero,qb,na,Crepe alla crema di asparagi
 Parmigiano Reggiano DOP da grattugiare,2,cucchiai,Crepe alla crema di asparagi
 Burro,qb,na,Crepe alla crema di asparagi
 Pepe nero,qb,na,Crepe alla crema di asparagi
 Latte intero a temperatura ambiente,150,g,Hot dog
 Farina 00,250,g,Hot dog
 Zucchero,15,g,Hot dog
 Sale fino,4,g,Hot dog
 Burro ammorbidito,10,g,Hot dog
 Lievito di birra secco,3,g,Hot dog
 Acqua a temperatura ambiente,50,g,Hot dog
 Wurstel da hot dog,5,pezzi,Hot dog
