Ingrediente,Quantita,Unita_di_misura,Nome_Piatto,,,,
 Sale fino,1.0,pizzico,Vellutata di ceci con saut� di cozze e vongole,,,,
 Pepe nero,-1.0,n.a.,Vellutata di ceci con saut� di cozze e vongole,,,,
 Sale,-1.0,n.a.,Polenta e bruscitt,,,,
 Burro,100.0,g,Polenta e bruscitt,,,,
 Pepe,-1.0,n.a.,Polenta e bruscitt,,,,
 Lardo di Colonnata,45.0,g,Polenta e bruscitt,,,,
 Semi di finocchio,5.0,g,Polenta e bruscitt,,,,
 Aglio,1.0,spicchio,Polenta e bruscitt,,,,
 Vino rosso tipo Barbera,200.0,ml,Polenta e bruscitt,,,,
 Manzo polpa di reale,1.0,kg,Polenta e bruscitt,,,,
 Manzo cappello del prete,1.0,kg,Polenta e bruscitt,,,,
 Farina di mais,375.0,g,Polenta e bruscitt,,,,
 Sale fino,-1.0,n.a.,Polenta e bruscitt,,,,
 Olio extravergine d'oliva,1.0,cucchiaio,Polenta e bruscitt,,,,
 Squacquerone,300.0,g,Piadina con verdure gratinate,,,,
 Zucchine,200.0,g,Piadina con verdure gratinate,,,,
 Peperoni rossi,120.0,g,Piadina con verdure gratinate,,,,
 Peperoni gialli,120.0,g,Piadina con verdure gratinate,,,,
 Peperoni verdi,120.0,g,Piadina con verdure gratinate,,,,
 Melanzane,300.0,g,Piadina con verdure gratinate,,,,
 Olio extravergine d'oliva,40.0,g,Piadina con verdure gratinate,,,,
 Rosmarino,2.0,rametti,Piadina con verdure gratinate,,,,
 Salvia,6.0,foglie,Piadina con verdure gratinate,,,,
 Sale fino,-1.0,n.a.,Piadina con verdure gratinate,,,,
 Pepe nero,-1.0,n.a.,Piadina con verdure gratinate,,,,
 Pangrattato,70.0,g,Piadina con verdure gratinate,,,,
 Rucola,40.0,g,Piadina con verdure gratinate,,,,
 Mix di cereali e quinoa con grano saraceno,180.0,g,Zucchine ripiene con cereali e quinoa,,,,
 Zucchine tonde piccole,4.0,pezzi,Zucchine ripiene con cereali e quinoa,,,,
 Pomodori pizzutelli,100.0,g,Zucchine ripiene con cereali e quinoa,,,,
 Olive taggiasche,20.0,g,Zucchine ripiene con cereali e quinoa,,,,
 Acciughe (alici),70.0,g,Zucchine ripiene con cereali e quinoa,,,,
 Basilico,-1.0,n.a.,Zucchine ripiene con cereali e quinoa,,,,
 Menta,-1.0,n.a.,Zucchine ripiene con cereali e quinoa,,,,
 Finocchietto selvatico,-1.0,n.a.,Zucchine ripiene con cereali e quinoa,,,,
 Scorza di limone,-1.0,n.a.,Zucchine ripiene con cereali e quinoa,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Zucchine ripiene con cereali e quinoa,,,,
 Sale fino,-1.0,n.a.,Zucchine ripiene con cereali e quinoa,,,,
 Pepe nero,-1.0,n.a.,Zucchine ripiene con cereali e quinoa,,,,
 Farro perlato,320.0,g,Insalata di farro invernale,,,,
 Cavoletti di Bruxelles,300.0,g,Insalata di farro invernale,,,,
 Funghi champignon,300.0,g,Insalata di farro invernale,,,,
 Prosciutto cotto (pezzo intero),150.0,g,Insalata di farro invernale,,,,
 Provolone,150.0,g,Insalata di farro invernale,,,,
 Carote,130.0,g,Insalata di farro invernale,,,,
 Aglio,2.0,spicchi,Insalata di farro invernale,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Insalata di farro invernale,,,,
 Sale fino,-1.0,n.a.,Insalata di farro invernale,,,,
 Pepe nero,-1.0,n.a.,Insalata di farro invernale,,,,
 Piadine integrali ( da 50 gr ciascuna),4.0,pezzi,Wrap con hummus piccante e verdure,,,,
 Carote,150.0,g,Wrap con hummus piccante e verdure,,,,
 Zucchine,100.0,g,Wrap con hummus piccante e verdure,,,,
 Peperoncino fresco dolce,10.0,g,Wrap con hummus piccante e verdure,,,,
 Lattuga iceberg,80.0,g,Wrap con hummus piccante e verdure,,,,
 Barbabietole,50.0,g,Wrap con hummus piccante e verdure,,,,
 Emmentaler 8 fette,150.0,g,Wrap con hummus piccante e verdure,,,,
 Ceci precotti,300.0,g,Wrap con hummus piccante e verdure,,,,
 Prezzemolo,20.0,g,Wrap con hummus piccante e verdure,,,,
 Sale fino,-1.0,n.a.,Wrap con hummus piccante e verdure,,,,
 Pepe nero,-1.0,n.a.,Wrap con hummus piccante e verdure,,,,
 Tabasco,0.5,Met� dell'ingrediente,Wrap con hummus piccante e verdure,,,,
 Succo di limone,30.0,g,Wrap con hummus piccante e verdure,,,,
 Aglio,1.0,spicchio,Wrap con hummus piccante e verdure,,,,
 Paprika piccante,0.5,Met� dell'ingrediente,Wrap con hummus piccante e verdure,,,,
 Tahina,50.0,g,Wrap con hummus piccante e verdure,,,,
 Olio extravergine d'oliva,50.0,g,Wrap con hummus piccante e verdure,,,,
 Acqua facoltativa,50.0,g,Wrap con hummus piccante e verdure,,,,
 Riso rosso,200.0,g,One-pot paella vegetariana di riso rosso,,,,
 Asparagi,130.0,g,One-pot paella vegetariana di riso rosso,,,,
 Fagiolini,120.0,g,One-pot paella vegetariana di riso rosso,,,,
 Feta,100.0,g,One-pot paella vegetariana di riso rosso,,,,
 Carote,90.0,g,One-pot paella vegetariana di riso rosso,,,,
 Pisellini sgranati,80.0,g,One-pot paella vegetariana di riso rosso,,,,
 Fave sgranate,70.0,g,One-pot paella vegetariana di riso rosso,,,,
 Cipolle rosse,40.0,g,One-pot paella vegetariana di riso rosso,,,,
 Acqua circa,600.0,g,One-pot paella vegetariana di riso rosso,,,,
 Peperoncino fresco,1.0,pezzi,One-pot paella vegetariana di riso rosso,,,,
 Succo di limone,-1.0,n.a.,One-pot paella vegetariana di riso rosso,,,,
 Menta,-1.0,n.a.,One-pot paella vegetariana di riso rosso,,,,
 Olio extravergine d'oliva,-1.0,n.a.,One-pot paella vegetariana di riso rosso,,,,
 Sale fino,-1.0,n.a.,One-pot paella vegetariana di riso rosso,,,,
 Pepe nero,-1.0,n.a.,One-pot paella vegetariana di riso rosso,,,,
 Panini di grano duro,4.0,pezzi,Parmigiana nel panino,,,,
 Melanzane,300.0,g,Parmigiana nel panino,,,,
 Passata di pomodoro,400.0,g,Parmigiana nel panino,,,,
 Parmigiano Reggiano DOP,100.0,g,Parmigiana nel panino,,,,
 Aglio,1.0,spicchio,Parmigiana nel panino,,,,
 Basilico,-1.0,n.a.,Parmigiana nel panino,,,,
 Sale fino,-1.0,n.a.,Parmigiana nel panino,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Parmigiana nel panino,,,,
 Olio di semi per friggere le melanzane,-1.0,n.a.,Parmigiana nel panino,,,,
 Tonno sott'olio sgocciolato,150.0,g,Insalata di tonno esotica,,,,
 Mango gi� pulito,100.0,g,Insalata di tonno esotica,,,,
 Papaya gi� pulito,60.0,g,Insalata di tonno esotica,,,,
 Noce di cocco gi� pulito,45.0,g,Insalata di tonno esotica,,,,
 Rucola,50.0,g,Insalata di tonno esotica,,,,
 Anacardi,20.0,g,Insalata di tonno esotica,,,,
 Coriandolo,3.0,g,Insalata di tonno esotica,,,,
 Pepe rosa in grani,1.0,g,Insalata di tonno esotica,,,,
 Sale di maldon,-1.0,n.a.,Insalata di tonno esotica,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Insalata di tonno esotica,,,,
 Uova medie,5.0,pezzi,Frittata con pesto e pomodori,,,,
 Pomodori ramati,120.0,g,Frittata con pesto e pomodori,,,,
 Basilico,1.0,ciuffo,Frittata con pesto e pomodori,,,,
 Sale fino,-1.0,n.a.,Frittata con pesto e pomodori,,,,
 Pepe nero,-1.0,n.a.,Frittata con pesto e pomodori,,,,
 Parmigiano Reggiano DOP da grattugiare,18.0,g,Frittata con pesto e pomodori,,,,
 Pecorino da grattugiare,7.0,g,Frittata con pesto e pomodori,,,,
 Pinoli,4.0,g,Frittata con pesto e pomodori,,,,
 Olio extravergine d'oliva,25.0,ml,Frittata con pesto e pomodori,,,,
 Sale grosso,2.0,g,Frittata con pesto e pomodori,,,,
 Basilico,6.0,foglie,Frittata con pesto e pomodori,,,,
 Cavolo cappuccio,200.0,g,Insalata di gamberi con salsa allo yogurt,,,,
 Arance (pelate),200.0,g,Insalata di gamberi con salsa allo yogurt,,,,
 Gamberi,12.0,pezzi,Insalata di gamberi con salsa allo yogurt,,,,
 Gherigli di noci,80.0,g,Insalata di gamberi con salsa allo yogurt,,,,
 Olio di oliva,15.0,ml,Insalata di gamberi con salsa allo yogurt,,,,
 Scorza di limone,0.5,Met� dell'ingrediente,Insalata di gamberi con salsa allo yogurt,,,,
 Spinacini,-1.0,n.a.,Insalata di gamberi con salsa allo yogurt,,,,
 Olio extravergine d'oliva,30.0,ml,Insalata di gamberi con salsa allo yogurt,,,,
 Yogurt greco,2.0,cucchiaini,Insalata di gamberi con salsa allo yogurt,,,,
 Succo di lime,1.0,pezzi,Insalata di gamberi con salsa allo yogurt,,,,
 Menta,2.0,foglie,Insalata di gamberi con salsa allo yogurt,,,,
 Timo,1.0,rametto,Insalata di gamberi con salsa allo yogurt,,,,
 Sale fino,-1.0,n.a.,Insalata di gamberi con salsa allo yogurt,,,,
 Pepe nero,-1.0,n.a.,Insalata di gamberi con salsa allo yogurt,,,,
 Farina 00,210.0,g,Empanadas di tonno,,,,
 Acqua tiepida,70.0,g,Empanadas di tonno,,,,
 Strutto,50.0,g,Empanadas di tonno,,,,
 Aceto di vino bianco,3.0,g,Empanadas di tonno,,,,
 Sale fino,1.0,pizzico,Empanadas di tonno,,,,
 Tonno sott'olio (peso sgocciolato),150.0,g,Empanadas di tonno,,,,
 Cipolle ramate,200.0,g,Empanadas di tonno,,,,
 Peperoni rossi,100.0,g,Empanadas di tonno,,,,
 Pomodori pelati,65.0,g,Empanadas di tonno,,,,
 Prezzemolo,-1.0,n.a.,Empanadas di tonno,,,,
 Paprika affumicata,-1.0,n.a.,Empanadas di tonno,,,,
 Strutto,15.0,g,Empanadas di tonno,,,,
 Olio extravergine d'oliva,15.0,g,Empanadas di tonno,,,,
 Sale fino,1.0,pizzico,Empanadas di tonno,,,,
 Olio di semi di girasole,-1.0,n.a.,Empanadas di tonno,,,,
 Tranci di salmone,800.0,g,Crema di porri e patate con spiedino di salmone,,,,
 Olio extravergine d'oliva,50.0,ml,Crema di porri e patate con spiedino di salmone,,,,
 Pepe rosa in grani,1.0,cucchiaio,Crema di porri e patate con spiedino di salmone,,,,
 Aneto,2.0,rametti,Crema di porri e patate con spiedino di salmone,,,,
 Scorza di limone non trattato,1.0,pezzi,Crema di porri e patate con spiedino di salmone,,,,
 Sale fino,1.0,pizzico,Crema di porri e patate con spiedino di salmone,,,,
 Porri,800.0,g,Crema di porri e patate con spiedino di salmone,,,,
 Patate,800.0,g,Crema di porri e patate con spiedino di salmone,,,,
 Brodo vegetale,1.0,l,Crema di porri e patate con spiedino di salmone,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Crema di porri e patate con spiedino di salmone,,,,
 Sale fino,1.0,pizzico,Crema di porri e patate con spiedino di salmone,,,,
 Tortillas,8.0,pezzi,Tortillas con maiale speziato e guacamole allo yogurt,,,,
 Lonza di maiale (a fette),600.0,g,Tortillas con maiale speziato e guacamole allo yogurt,,,,
 Carote,3.0,pezzi,Tortillas con maiale speziato e guacamole allo yogurt,,,,
 Zucchine,2.0,pezzi,Tortillas con maiale speziato e guacamole allo yogurt,,,,
 Cumino ,0.5,Met� dell'ingrediente,Tortillas con maiale speziato e guacamole allo yogurt,,,,
 Olio extravergine d'oliva,30.0,g,Tortillas con maiale speziato e guacamole allo yogurt,,,,
 Cipollotto fresco,1.0,pezzi,Tortillas con maiale speziato e guacamole allo yogurt,,,,
 Pepe nero,-1.0,n.a.,Tortillas con maiale speziato e guacamole allo yogurt,,,,
 Paprika,0.5,Met� dell'ingrediente,Tortillas con maiale speziato e guacamole allo yogurt,,,,
 Worcestershire sauce,1.0,cucchiaio,Tortillas con maiale speziato e guacamole allo yogurt,,,,
 Sale fino,-1.0,n.a.,Tortillas con maiale speziato e guacamole allo yogurt,,,,
 Yogurt greco 0% di grassi,100.0,g,Tortillas con maiale speziato e guacamole allo yogurt,,,,
 Avocado maturo,1.0,pezzi,Tortillas con maiale speziato e guacamole allo yogurt,,,,
 Pomodori ramati,100.0,g,Tortillas con maiale speziato e guacamole allo yogurt,,,,
 Cipolle bianche,0.5,Met� dell'ingrediente,Tortillas con maiale speziato e guacamole allo yogurt,,,,
 Aglio,1.0,spicchio,Tortillas con maiale speziato e guacamole allo yogurt,,,,
 Olio extravergine d'oliva,3.0,cucchiai,Tortillas con maiale speziato e guacamole allo yogurt,,,,
 Succo di lime,1.0,pezzi,Tortillas con maiale speziato e guacamole allo yogurt,,,,
 Peperoncino verde piccante,0.5,Met� dell'ingrediente,Tortillas con maiale speziato e guacamole allo yogurt,,,,
 Pane bianco in cassetta,12.0,fette,Toast vegetariano,,,,
 Pomodori ramati,200.0,g,Toast vegetariano,,,,
 Melanzane,150.0,g,Toast vegetariano,,,,
 Zucchine,150.0,g,Toast vegetariano,,,,
 Emmentaler (8 fette),160.0,g,Toast vegetariano,,,,
 Burro,-1.0,n.a.,Toast vegetariano,,,,
 Pomodorini datterini,200.0,g,Toast vegetariano,,,,
 Ricotta vaccina,70.0,g,Toast vegetariano,,,,
 Olio extravergine d'oliva,10.0,g,Toast vegetariano,,,,
 Sale fino,-1.0,n.a.,Toast vegetariano,,,,
 Pepe nero,-1.0,n.a.,Toast vegetariano,,,,
 Basilico,-1.0,n.a.,Toast vegetariano,,,,
 Panini da hamburger,4.0,pezzi,Hamburger piemontesi,,,,
 Manzo tritato,520.0,g,Hamburger piemontesi,,,,
 Toma piemontese,120.0,g,Hamburger piemontesi,,,,
 Olio extravergine d'oliva,1.0,filo,Hamburger piemontesi,,,,
 Sale fino,-1.0,n.a.,Hamburger piemontesi,,,,
 Pepe nero,-1.0,n.a.,Hamburger piemontesi,,,,
 Patate,200.0,g,Hamburger piemontesi,,,,
 Rosmarino,4.0,rametti,Hamburger piemontesi,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Hamburger piemontesi,,,,
 Sale fino,-1.0,n.a.,Hamburger piemontesi,,,,
 Pepe nero,-1.0,n.a.,Hamburger piemontesi,,,,
 Uova,1.0,pezzi,Hamburger piemontesi,,,,
 Acciughe sott'olio,1.0,filetto,Hamburger piemontesi,,,,
 Aglio,1.0,spicchio,Hamburger piemontesi,,,,
 Olio extravergine d'oliva,35.0,g,Hamburger piemontesi,,,,
 Prezzemolo,30.0,g,Hamburger piemontesi,,,,
 Pane raffermo soltanto la mollica,40.0,g,Hamburger piemontesi,,,,
 Capperi sotto sale,0.5,Met� dell'ingrediente,Hamburger piemontesi,,,,
 Aceto di vino bianco,10.0,g,Hamburger piemontesi,,,,
 Sale fino,-1.0,n.a.,Hamburger piemontesi,,,,
 Pepe nero,-1.0,n.a.,Hamburger piemontesi,,,,
 Capriolo polpa,1.0,kg,Capriolo in salm� con polenta di grano saraceno,,,,
 Cipolle,50.0,g,Capriolo in salm� con polenta di grano saraceno,,,,
 Carote,60.0,g,Capriolo in salm� con polenta di grano saraceno,,,,
 Sedano,60.0,g,Capriolo in salm� con polenta di grano saraceno,,,,
 Burro,50.0,g,Capriolo in salm� con polenta di grano saraceno,,,,
 Olio extravergine d'oliva,40.0,g,Capriolo in salm� con polenta di grano saraceno,,,,
 Sale fino,-1.0,n.a.,Capriolo in salm� con polenta di grano saraceno,,,,
 Pepe nero,-1.0,n.a.,Capriolo in salm� con polenta di grano saraceno,,,,
 Vino rosso,500.0,g,Capriolo in salm� con polenta di grano saraceno,,,,
 Cipolle,40.0,g,Capriolo in salm� con polenta di grano saraceno,,,,
 Bacche di ginepro,3.0,pezzi,Capriolo in salm� con polenta di grano saraceno,,,,
 Aglio,5.0,g,Capriolo in salm� con polenta di grano saraceno,,,,
 Salvia,4.0,foglie,Capriolo in salm� con polenta di grano saraceno,,,,
 Alloro,2.0,foglie,Capriolo in salm� con polenta di grano saraceno,,,,
 Rosmarino,3.0,g,Capriolo in salm� con polenta di grano saraceno,,,,
 Finocchietto selvatico,2.0,g,Capriolo in salm� con polenta di grano saraceno,,,,
 Chiodi di garofano,1.0,g,Capriolo in salm� con polenta di grano saraceno,,,,
 Farina di mais bramata,150.0,g,Capriolo in salm� con polenta di grano saraceno,,,,
 Farina di grano saraceno,100.0,g,Capriolo in salm� con polenta di grano saraceno,,,,
 Olio extravergine d'oliva,15.0,g,Capriolo in salm� con polenta di grano saraceno,,,,
 Sale grosso,-1.0,n.a.,Capriolo in salm� con polenta di grano saraceno,,,,
 Cime di rapa,1.0,kg,Cime di rapa con salsiccia,,,,
 Salsiccia piccante,500.0,g,Cime di rapa con salsiccia,,,,
 Olio extravergine d'oliva,3.0,cucchiai,Cime di rapa con salsiccia,,,,
 Peperoncino fresco,1.0,pezzi,Cime di rapa con salsiccia,,,,
 Aglio,1.0,spicchio,Cime di rapa con salsiccia,,,,
 Sale fino,-1.0,n.a.,Cime di rapa con salsiccia,,,,
 Riso Basmati,220.0,g,One-pot di riso,,,,
 Fiori di zucca (da pulire),110.0,g,One-pot di riso,,,,
 Zucchine baby,90.0,g,One-pot di riso,,,,
 Prosciutto cotto una fetta spessa di spalla,150.0,g,One-pot di riso,,,,
 Porri,110.0,g,One-pot di riso,,,,
 Rucola,30.0,g,One-pot di riso,,,,
 Scorza di limone,0.5,Met� dell'ingrediente,One-pot di riso,,,,
 Menta,-1.0,n.a.,One-pot di riso,,,,
 Olio extravergine d'oliva,-1.0,n.a.,One-pot di riso,,,,
 Sale fino,-1.0,n.a.,One-pot di riso,,,,
 Pepe nero,-1.0,n.a.,One-pot di riso,,,,
 Brodo vegetale,400.0,g,One-pot di riso,,,,
 Farina di mais bramata,200.0,g,Crostata salata di polenta,,,,
 Acqua,800.0,ml,Crostata salata di polenta,,,,
 Parmigiano Reggiano DOP da grattugiare,-1.0,n.a.,Crostata salata di polenta,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Crostata salata di polenta,,,,
 Sale fino,-1.0,n.a.,Crostata salata di polenta,,,,
 Pepe nero,-1.0,n.a.,Crostata salata di polenta,,,,
 Funghi porcini,250.0,g,Crostata salata di polenta,,,,
 Funghi champignon,250.0,g,Crostata salata di polenta,,,,
 Luganega,450.0,g,Crostata salata di polenta,,,,
 Vino bianco secco,50.0,g,Crostata salata di polenta,,,,
 Burro,40.0,g,Crostata salata di polenta,,,,
 Aglio,1.0,spicchio,Crostata salata di polenta,,,,
 Timo,3.0,rametti,Crostata salata di polenta,,,,
 Rosmarino,3.0,rametti,Crostata salata di polenta,,,,
 Noce moscata,-1.0,n.a.,Crostata salata di polenta,,,,
 Latte intero,400.0,ml,Crostata salata di polenta,,,,
 Burro,40.0,g,Crostata salata di polenta,,,,
 Farina 00,40.0,g,Crostata salata di polenta,,,,
 Noce moscata,-1.0,n.a.,Crostata salata di polenta,,,,
 Sale fino,-1.0,n.a.,Crostata salata di polenta,,,,
 Pepe nero,-1.0,n.a.,Crostata salata di polenta,,,,
 Bulgur,300.0,g,Bulgur con pesto di erbe fresche e noci,,,,
 Menta,10.0,g,Bulgur con pesto di erbe fresche e noci,,,,
 Erba cipollina,10.0,g,Bulgur con pesto di erbe fresche e noci,,,,
 Basilico,30.0,g,Bulgur con pesto di erbe fresche e noci,,,,
 Gherigli di noci,50.0,g,Bulgur con pesto di erbe fresche e noci,,,,
 Mandorle in scaglie,30.0,g,Bulgur con pesto di erbe fresche e noci,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Bulgur con pesto di erbe fresche e noci,,,,
 Sale fino,-1.0,n.a.,Bulgur con pesto di erbe fresche e noci,,,,
 Aglio,1.0,spicchio,Bulgur con pesto di erbe fresche e noci,,,,
 Farina 0,250.0,g,Crescentine (o tigelle) con la cunza,,,,
 Farina 00,500.0,g,Crescentine (o tigelle) con la cunza,,,,
 Latte intero,300.0,g,Crescentine (o tigelle) con la cunza,,,,
 Acqua,200.0,g,Crescentine (o tigelle) con la cunza,,,,
 Strutto,60.0,g,Crescentine (o tigelle) con la cunza,,,,
 Lievito di birra secco (o 11 g se fresco),3.0,g,Crescentine (o tigelle) con la cunza,,,,
 Olio extravergine d'oliva,50.0,g,Crescentine (o tigelle) con la cunza,,,,
 Sale fino,0.5,Met� dell'ingrediente,Crescentine (o tigelle) con la cunza,,,,
 Lardo,200.0,g,Crescentine (o tigelle) con la cunza,,,,
 Rosmarino,2.0,rametti,Crescentine (o tigelle) con la cunza,,,,
 Aglio,1.0,spicchio,Crescentine (o tigelle) con la cunza,,,,
 Sale fino,1.0,pizzico,Crescentine (o tigelle) con la cunza,,,,
 Pepe nero,-1.0,n.a.,Crescentine (o tigelle) con la cunza,,,,
 Lenticchie rosse decorticate,150.0,g,Vegan burger di lenticchie rosse,,,,
 Alga kombu,8.0,g,Vegan burger di lenticchie rosse,,,,
 Cipollotto fresco,40.0,g,Vegan burger di lenticchie rosse,,,,
 Olio extravergine d'oliva,15.0,g,Vegan burger di lenticchie rosse,,,,
 Curry,2.0,g,Vegan burger di lenticchie rosse,,,,
 Sale fino,-1.0,n.a.,Vegan burger di lenticchie rosse,,,,
 Pepe nero,-1.0,n.a.,Vegan burger di lenticchie rosse,,,,
 Pane integrale raffermo,50.0,g,Vegan burger di lenticchie rosse,,,,
 Erba cipollina,5.0,g,Vegan burger di lenticchie rosse,,,,
 Avocado maturo,120.0,g,Vegan burger di lenticchie rosse,,,,
 Succo di limone,8.0,g,Vegan burger di lenticchie rosse,,,,
 Olio extravergine d'oliva,10.0,g,Vegan burger di lenticchie rosse,,,,
 Zucchine,50.0,g,Vegan burger di lenticchie rosse,,,,
 Melanzane,40.0,g,Vegan burger di lenticchie rosse,,,,
 Pomodori,50.0,g,Vegan burger di lenticchie rosse,,,,
 Olio extravergine d'oliva,5.0,g,Vegan burger di lenticchie rosse,,,,
 Sale fino,1.0,pizzico,Vegan burger di lenticchie rosse,,,,
 Basilico,4.0,foglie,Vegan burger di lenticchie rosse,,,,
 Panini ai cereali,4.0,pezzi,Vegan burger di lenticchie rosse,,,,
 Cous cous,250.0,g,Couscous con verdure e polpettine di pesce,,,,
 Acqua,250.0,g,Couscous con verdure e polpettine di pesce,,,,
 Zucca polpa,200.0,g,Couscous con verdure e polpettine di pesce,,,,
 Carote,150.0,g,Couscous con verdure e polpettine di pesce,,,,
 Fagiolini,150.0,g,Couscous con verdure e polpettine di pesce,,,,
 Zucchine baby,120.0,g,Couscous con verdure e polpettine di pesce,,,,
 Cipollotto fresco,2.0,pezzi,Couscous con verdure e polpettine di pesce,,,,
 Sedano,1.0,costa,Couscous con verdure e polpettine di pesce,,,,
 Scorza di limone non trattato,0.5,Met� dell'ingrediente,Couscous con verdure e polpettine di pesce,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Couscous con verdure e polpettine di pesce,,,,
 Sale fino,-1.0,n.a.,Couscous con verdure e polpettine di pesce,,,,
 Pepe nero,-1.0,n.a.,Couscous con verdure e polpettine di pesce,,,,
 Menta,-1.0,n.a.,Couscous con verdure e polpettine di pesce,,,,
 Orata polpa,260.0,g,Couscous con verdure e polpettine di pesce,,,,
 Patate media,1.0,pezzi,Couscous con verdure e polpettine di pesce,,,,
 Timo,1.0,rametto,Couscous con verdure e polpettine di pesce,,,,
 Pangrattato,30.0,g,Couscous con verdure e polpettine di pesce,,,,
 Prezzemolo,-1.0,n.a.,Couscous con verdure e polpettine di pesce,,,,
 Farina 00,-1.0,n.a.,Couscous con verdure e polpettine di pesce,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Couscous con verdure e polpettine di pesce,,,,
 Sale fino,-1.0,n.a.,Couscous con verdure e polpettine di pesce,,,,
 Pepe nero,-1.0,n.a.,Couscous con verdure e polpettine di pesce,,,,
 Tempeh,230.0,g,Tempeh alle verdure,,,,
 Ceci precotti (peso sgocciolato),250.0,g,Tempeh alle verdure,,,,
 Carote,180.0,g,Tempeh alle verdure,,,,
 Zucchine,140.0,g,Tempeh alle verdure,,,,
 Melanzane,100.0,g,Tempeh alle verdure,,,,
 Cipollotti,70.0,g,Tempeh alle verdure,,,,
 Anacardi,60.0,g,Tempeh alle verdure,,,,
 Zenzero fresco,20.0,g,Tempeh alle verdure,,,,
 Aglio,2.0,spicchi,Tempeh alle verdure,,,,
 Peperoncino fresco,1.0,pezzi,Tempeh alle verdure,,,,
 Paprika dolce,2.0,cucchiai,Tempeh alle verdure,,,,
 Salsa di soia,60.0,g,Tempeh alle verdure,,,,
 Acqua,60.0,g,Tempeh alle verdure,,,,
 Olio di sesamo,20.0,g,Tempeh alle verdure,,,,
 Semi di sesamo,0.5,Met� dell'ingrediente,Tempeh alle verdure,,,,
 Prezzemolo,-1.0,n.a.,Tempeh alle verdure,,,,
 Semola di grano duro rimacinata,750.0,g,Panada,,,,
 Strutto,60.0,g,Panada,,,,
 Sale fino,10.0,g,Panada,,,,
 Acqua tiepida,380.0,ml,Panada,,,,
 Patate,1.0,kg,Panada,,,,
 Pomodori secchi sott'olio,60.0,g,Panada,,,,
 Aglio,3.0,spicchi,Panada,,,,
 Prezzemolo,10.0,g,Panada,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Panada,,,,
 Sale fino,-1.0,n.a.,Panada,,,,
 Pepe nero,-1.0,n.a.,Panada,,,,
 Pane tipo francesino,1.0,pezzi,Panino wurstel e patatine,,,,
 Wurstel,1.0,pezzi,Panino wurstel e patatine,,,,
 Patate fritte congelate,-1.0,n.a.,Panino wurstel e patatine,,,,
 Scamorza (provola) fettine sottili,3.0,pezzi,Panino wurstel e patatine,,,,
 Sale fino,-1.0,n.a.,Panino wurstel e patatine,,,,
 Maionese (o ketchup),-1.0,n.a.,Panino wurstel e patatine,,,,
 Farina di mais bianco precotto,320.0,g,Arepas ripiene di carne,,,,
 Acqua,400.0,g,Arepas ripiene di carne,,,,
 Olio di semi di mais,1.0,cucchiaio,Arepas ripiene di carne,,,,
 Sale fino,0.5,Met� dell'ingrediente,Arepas ripiene di carne,,,,
 Manzo punta di petto,1350.0,g,Arepas ripiene di carne,,,,
 Cipolle,350.0,g,Arepas ripiene di carne,,,,
 Peperoni rossi,350.0,g,Arepas ripiene di carne,,,,
 Aglio,1.0,spicchio,Arepas ripiene di carne,,,,
 Acqua,500.0,g,Arepas ripiene di carne,,,,
 Rum,40.0,g,Arepas ripiene di carne,,,,
 Olio extravergine d'oliva,2.0,cucchiai,Arepas ripiene di carne,,,,
 Paprika affumicata,1.0,cucchiaio,Arepas ripiene di carne,,,,
 Cumino in polvere,1.0,cucchiaio,Arepas ripiene di carne,,,,
 Sale fino,1.0,cucchiaio,Arepas ripiene di carne,,,,
 Pepe nero,1.0,cucchiaio,Arepas ripiene di carne,,,,
 Avocado,2.0,pezzi,Arepas ripiene di carne,,,,
 Succo di lime,1.0,pezzi,Arepas ripiene di carne,,,,
 Olio extravergine d'oliva,1.0,cucchiaio,Arepas ripiene di carne,,,,
 Sale fino,-1.0,n.a.,Arepas ripiene di carne,,,,
 Edamer da grattugiare,120.0,g,Arepas ripiene di carne,,,,
 Prezzemolo,-1.0,n.a.,Arepas ripiene di carne,,,,
 Riso a chicco lungo (tipo Basmati),500.0,g,Jambalaya,,,,
 Gamberi,600.0,g,Jambalaya,,,,
 Polpa di pomodoro,450.0,g,Jambalaya,,,,
 Chorizo,100.0,g,Jambalaya,,,,
 Peperoni verdi,300.0,g,Jambalaya,,,,
 Cipolle,150.0,g,Jambalaya,,,,
 Sedano,100.0,g,Jambalaya,,,,
 Olio extravergine d'oliva,40.0,g,Jambalaya,,,,
 Cajun mix di spezie,2.0,cucchiai,Jambalaya,,,,
 Prezzemolo,-1.0,n.a.,Jambalaya,,,,
 Pepe nero,-1.0,n.a.,Jambalaya,,,,
 Acqua,3.0,l,Jambalaya,,,,
